codigo,nombre,0,1,2,3,4,5
AMB-006-A,Uso/cobertura del suelo (compatibilidad),areas humedas continentales;areas humedas costeras;aguas continentales;aguas maritimas;zonas urbanizadas;zonas industriales o comerciales y redes de comunicacion;zonas de extraccion mineras y escombreras,bosques,"cultivos permanentes;zonas verdes artificializadas, no agricolas",cultivos transitorios;areas agricolas heterogeneas,areas con vegetacion herbacea y/o arbustiva,"areas abiertas, sin o con poca vegetacion;pastos"
AMB-007-AT,Pendiente del terreno,30;60,24;30,18;24,12;18,6;12,0;6
AMB-030-AT,Batimetr�a para cimentaci�n offshore,-6000;-100,-80;-100,-60;-80,-40;-60,-20;-40,-20;0
AMB-040-A,"Riesgo f�sico relativo (Inundaciones, deslizamientos)",,ALTA,MEDIA,,BAJA,
AMB-008-AT,Elevaci�n,5732;2000,1500;2000,1000;1500,500;1000,200;500,0;200
AMB-029-AT,fondos marinos,-,,sustrato grueso,arenas,arena lodosa,lodo
AMB-005,Especies end�micas,1,,,,,0
AMB-003,Especies migratorias,1,,,,,0
AMB-019,marinas en IUCN,1,,,,,0
AMB-017,Especies aves IUCN,1,,,,,0
AMB-034,Zona de reproducci�n de aves,1,,,,,0
AMB-038,Congregaci�n de aves playeras,1,,,,,0
AMB-042,Especies murcielagos IUCN,1,,,,,0
AMB-033,Areas claves para la biodiversidad,1,,,,,0
AMB-012,Humedales RAMSAR,1,,,,,0
AMB-020,Pastos marinos,1,,,,,0
AMB-036,Playas de anidaci�n de tortugas,1,,,,,0
AMB-021,�reas coralinas,1,,,,,0
AMB-031,Fallas,1,,,,,0
TEC-023,Distancia nodos sin, 15,10;15,5;10,5;1,1
TEC-032,Distancia vias, 15,10;15,5;10,5;1,1
TEC-001,Velocidad del viento, 5,5;6,6;7,7;8,8
