Descripcio,Valor 0-5
Depósitos aluviales y de llanuras aluviales,0
Abanicos aluviales y depósitos coluviales,0
Terrazas aluviales,0
Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,5
Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.,1
Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,1
"Gneises cuarzofeldespáticos, migmatitas, granulitas, anfibolitas, ortogneises, cuarcitas y mármoles.",3
"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",2
"Arenitas, limolitas y calizas intercaladas con tobas, brechas, aglomerados y lavas riolíticas a andesíticas.",2
"Arenitas de grano fino a conglomeráticas interestratificadas con arcillolitas y limolitas. Ocasionalmente, lentes de hierro oolítico y carbón.",1
"Lodolitas, shales, limolitas silíceas, metalimolitas, metarenitas feldespáticas y metarenitas lodosas con lentes de mármoles.",1
"Intercalaciones de capas rojas de conglomerados, arenitas líticas conglomeráticas y arcillolitas.",1
"Shales, calizas, arenitas, cherts y fosforitas",1
"Granitos con textura rapakivi, granitos.",5
Depósitos eólicos (dunas) y loes,0
"Esquistos grafíticos, cuarzomoscovíticos, cloríticos y anfibólicos; filitas; cuarcitas; mármoles, y serpentinitas.",2
"Depósitos de gravas y arenas acumulados en playas, y de lodos ricos en materia orgánica asociados al desarrollo de manglares.",0
Conglomerados de bloques a guijos con intercalaciones de arcillas y arenitas de grano fino a grueso,1
"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",1
Depósitos paludales,0
"Gneises cuarzofeldespáticos algunos con sillimanita, cordierita y hornblenda; anfibolitas; migmatitas; esquistos, y mármoles.",2
"Filitas, esquistos, cuarcitas, pizarras, metaconglomerados, metalimolitas y mármoles.",2
"Tobas, aglomerados y lavas; ocasionalmente, intercalaciones de capas rojas de arenitas líticas y limolitas.",2
Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados,1
"Conglomerados rojizos; arenitas feldespáticas y arcillolitas abigarradas; cuarzoarenitas; calizas y shales, y en el tope, cuarzoarenitas glauconíticas y ferruginosas.",1
"Conglomerados y arenitas poco consolidados con matriz ferruginosa y arcillosa. También, arcillolitas con intercalaciones de limolitas, lodolitas arenosas y arenitas.",1
"Lodolitas, arenitas líticas e intercalaciones de conglomerados ferruginosos. Presenta costras de yeso y capas de carbón.",1
"Arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Lodolitas negras y calizas bituminosas intercaladas con cherts negros.",1
"Arenitas líticas de grano fino a conglomeráticas, calizas y conglomerados.",3
"Pórfidos dioríticos, granodioríticos y tonalíticos.",4
"Shales, calizas, fosforitas, cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.",1
"Arenitas feldespáticas y líticas; arcillolitas, y conglomerados con abundantes líticos de andesitas y dacitas.",1
"Arenitas líticas y feldespáticas de grano fino a grueso con glauconita, y shales calcáreos intercalados con lodolitas.",1
Calizas intercaladas con arenitas calcáreas y arcillolitas limosas,1
"Gabros que varían de olivínicos a cuarzogabros, a través de noritas y gabros hornbléndicos; metagabros.",5
Ortogneises graníticos,4
Arenitas líticas granodecrecientes de conglomeráticas a arenas de grano fino intercaladas con lodolitas y olitostromas de calizas micríticas,1
"Ignimbritas félsicas, tobas y lavas riodacíticas.",2
"Arenitas feldespáticas con intercalaciones de calizas, shales, margas y arenitas glauconíticas.",1
"Capas rojas constituidas por arenitas, conglomerados y limolitas.",2
"Intercalaciones de arenitas localmente conglomeráticas, lodolitas y arcillolitas. Ocasionalmente, delgadas capas de carbón.",1
"Calizas, arenitas y lodolitas calcáreas.",1
Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados,1
Riolitas,4
"Harzburgitas, lerzolitas, dunitas y websteritas en interbandeamientos cumulíticos con gabronoritas. Serpentinitas.",2
"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",1
"Metaconglomerados, metarenitas, cuarcitas y metapelitas con metamorfismo regional de muy bajo grado.",2
"Gneises cuarzofeldespáticos, algunos con sillimanita y cordierita; metatonalitas; anfibolitas; granulitas, y migmatitas.",4
"Ignimbritas riolíticas ricas en fragmentos líticos de limolitas, basaltos, cuarzolatitas y granitoides; riolitas.",2
"Lodolitas, algunas calcáreas y nodulares, intercaladas con lentes de calizas y esporádicamente capas de arenitas de grano fino a muy fino.",1
Ortogneises graníticos a tonalíticos y paragneises de composición anfibolítica y textura migmatítica,4
Arrecifes coralinos,3
"Cuarzoarenitas y arenitas feldespáticas de grano medio a conglomeráticas, y conglomerados.",3
"Basaltos; brechas; aglomerados y tobas intercalados con cherts; limolitas; lodolitas calcáreas, y calizas.",1
"Cuarzoarenitas, arcillolitas, lodolitas grises y, ocasionalmente, calizas y conglomerados.",1
"Limolitas silíceas, shales, cuarzoarenitas y calizas arenosas intercalados con basaltos o diabasas espilíticas.",1
Shales con yeso y chert intercalados con calizas y arenitas,1
"Calizas arrecifales y arenosas que gradan a margas, shales, lodolitas y arenitas.",1
"Calizas, lodolitas negras y margas. Cuarzoarenitas de grano fino y lodolitas arenosas.",1
Depósitos glaciares,0
Gabros bandeados isotrópicos y dioritas,5
Granodioritas que varían a cuarzodioritas y cuarzomonzonitas,5
